id,query,reference_answer,category,difficulty
q134,What is 'hepatotoxicity'?,"Hepatotoxicity is the medical term for liver damage caused by a drug, chemical, or supplement. A well-known example is acetaminophen (Tylenol), which can cause severe liver failure in overdose.",side_effects,high
q135,What is 'endometriosis'?,"Endometriosis is a painful disorder in which tissue similar to the lining inside the uterus (the endometrium) grows outside the uterus. It most commonly involves the ovaries, fallopian tubes, and the tissue lining the pelvis.",disease,medium
q136,What is 'schizophrenia'?,"Schizophrenia is a serious, chronic mental disorder that affects how a person thinks, feels, and behaves. People with schizophrenia may experience hallucinations, delusions, and disordered thinking, and may seem like they have lost touch with reality.",mental_health,high
q137,What is an 'echocardiogram'?,"An echocardiogram (or 'echo') is an ultrasound of the heart. It uses sound waves to create moving pictures of your heart's chambers, valves, and walls, allowing doctors to assess its structure and pumping action.",diagnosis,medium
q138,What is 'cirrhosis'?,"Cirrhosis is late-stage, irreversible scarring (fibrosis) of the liver. This scar tissue replaces healthy liver tissue, blocking blood flow and preventing the liver from working properly. It's often caused by chronic alcoholism or hepatitis.",disease,high
q139,What is 'C. difficile' (C. diff)?,"Clostridioides difficile, or C. diff, is a bacterium that can cause severe diarrhea and life-threatening inflammation of the colon (colitis). It often affects older adults in hospitals or long-term care facilities and typically occurs after use of antibiotic medications.",disease,high
q140,What is 'angioedema'?,"Angioedema is swelling in the deep layers of the skin, often around the eyes and lips. It can be a side effect of some medications (like ACE inhibitors) or part of an allergic reaction. Swelling in the throat can be life-threatening.",side_effects,high
q141,What is 'petechiae'?,"Petechiae are tiny, pinpoint, round spots that appear on the skin as a result of bleeding under the skin. They are non-blanching (don't disappear when pressed) and can be a sign of a low platelet count, infection, or other serious conditions.",symptom,high
q142,What is 'gastroenteritis'?,"Gastroenteritis, often called the 'stomach flu,' is inflammation of the stomach and intestines. It's typically caused by a virus (like norovirus) or bacteria and leads to symptoms like diarrhea, vomiting, abdominal cramps, and fever.",disease,easy
q143,What is 'thalassemia'?,"Thalassemia is an inherited (genetic) blood disorder that causes your body to have less hemoglobin than normal. This can lead to anemia, leaving you fatigued.",disease,high
q144,What is 'hemophilia'?,"Hemophilia is a rare, inherited bleeding disorder in which the blood does not clot properly. This is because the blood lacks sufficient blood-clotting proteins (clotting factors). This can lead to spontaneous bleeding or prolonged bleeding after an injury.",disease,high
q145,What is 'polycythemia vera'?,"Polycythemia vera is a rare, slow-growing blood cancer in which your bone marrow makes too many red blood cells. This excess of cells thickens your blood, slowing its flow, which can lead to serious problems like blood clots.",disease,high
q146,What is 'sickle cell anemia'?,"Sickle cell anemia is an inherited red blood cell disorder. In this condition, the red blood cells are misshapen (like a sickle or crescent) and become rigid and sticky, which can slow or block blood flow and oxygen to parts of the body, causing pain and organ damage.",disease,medium
q147,What is an 'ischemic stroke'?,"An ischemic stroke is the most common type of stroke. It occurs when a blood vessel supplying blood to the brain becomes blocked, usually by a blood clot. This deprives the brain of oxygen and nutrients, causing brain cells to die.",disease,medium
q148,What is a 'hemorrhagic stroke'?,A hemorrhagic stroke occurs when a weakened blood vessel (like an aneurysm) in the brain ruptures and bleeds into the surrounding brain tissue. This bleeding puts pressure on brain cells and damages them.,disease,medium
q149,What is a 'TIA' (Transient Ischemic Attack)?,"A TIA, often called a 'mini-stroke,' is a temporary period of symptoms similar to those of a stroke. It's caused by a brief blockage of blood flow to the brain. A TIA is a serious warning sign of a future stroke and requires immediate medical attention.",disease,medium
q150,What is 'systemic lupus erythematosus' (Lupus)?,"Lupus is a chronic autoimmune disease that can cause inflammation and pain in any part of the body. It most commonly affects the skin, joints, and internal organs like the kidneys and heart. It's characterized by 'flares' (when symptoms worsen) and 'remissions' (when symptoms improve).",disease,high
q151,What is 'Reye's syndrome'?,"Reye's syndrome is a rare but extremely serious condition that causes swelling in the liver and brain. It most often affects children and teenagers recovering from a viral infection, like the flu or chickenpox, and has a strong association with aspirin use. This is why aspirin should not be given to children for fever.",side_effects,high
q152,What is an 'SSRI'?," ""SSRI stands for Selective Serotonin Reuptake Inhibitor. It's the most commonly prescribed class of antidepressants used to treat depression and anxiety. They work by increasing the levels of serotonin in the brain. Examples include fluoxetine (Prozac) and sertraline (Zoloft).”",treatment,medium
q153,What is an 'SNRI'?,"SNRI stands for Serotonin-Norepinephrine Reuptake Inhibitor. It's a class of antidepressant used to treat depression, anxiety, and chronic pain. They work by increasing the levels of both serotonin and norepinephrine in the brain. Examples include venlafaxine (Effexor) and duloxetine (Cymbalta).",treatment,medium
q154,What is 'hypoxia'?,"Hypoxia is a condition in which the body or a region of the body is deprived of an adequate oxygen supply at the tissue level. 'Hypoxemia' refers specifically to low oxygen levels in the blood, which leads to hypoxia.",symptom,medium
q155,What is 'intubation'?,"Intubation (specifically, endotracheal intubation) is a medical procedure where a tube is placed into the windpipe (trachea) through the mouth or nose. It's done to help a patient breathe, either during anesthesia for surgery or in an emergency when they cannot breathe on their own.",medical_procedure,medium
q156,What is a 'ventilator'?,"A ventilator, or breathing machine, is a medical device that provides mechanical ventilation by moving air into and out of the lungs. It is used for patients who are unable to breathe on their own or who are not breathing effectively.",treatment,medium
q157,What is a 'nebulizer'?,"A nebulizer is a medical device that turns liquid medication into a fine mist, which is then inhaled through a mouthpiece or mask. It is often used to deliver breathing treatments (like albuterol) directly to the lungs for conditions like asthma or COPD.",treatment,easy
q158,What is 'hypoglycemia'?,"Hypoglycemia is the medical term for low blood sugar (glucose). It's most common in people with diabetes who take insulin or other diabetes medications. Symptoms include shakiness, sweating, confusion, and a rapid heartbeat.",symptom,medium
q159,What is 'hyperglycemia'?,"Hyperglycemia is the medical term for high blood sugar (glucose). It's a hallmark sign of diabetes and can cause symptoms like increased thirst, frequent urination, and blurred vision. Left untreated, it can lead to serious complications.",symptom,medium
q160,What is 'diabetic ketoacidosis' (DKA)?,"DKA is a serious, life-threatening complication of diabetes (most often Type 1). It occurs when the body doesn't have enough insulin and starts to break down fat for fuel, producing high levels of blood acids called ketones. Symptoms include fruity-smelling breath, deep breathing, and confusion.",disease,high
q161,What is 'peripheral neuropathy'?,"Peripheral neuropathy is damage to the peripheral nerves (the nerves outside the brain and spinal cord). It most commonly causes weakness, numbness, and pain, usually in the hands and feet. It is a common complication of uncontrolled diabetes.",disease,medium
q162,What is 'metabolic syndrome'?,"Metabolic syndrome is not a single disease, but a cluster of conditions that occur together, increasing your risk of heart disease, stroke, and type 2 diabetes. These conditions include high blood pressure, high blood sugar, excess body fat around the waist, and abnormal cholesterol levels.",disease,medium
q163,What is 'scleral icterus'?,"Scleral icterus is the medical term for the yellowing of the sclera (the white part of the eye). It is a key sign of jaundice, which is caused by a high level of bilirubin in the blood, often indicating liver or gallbladder problems.",symptom,high
q164,What is 'jaundice'?,"Jaundice is a condition that causes the skin and the whites of the eyes (sclera) to turn yellow. It's caused by a buildup of bilirubin, a yellow substance that the liver processes. It is a sign of an underlying problem, such as liver disease, hepatitis, or gallstones.",symptom,medium
q165,What is 'hepatitis'?,"Hepatitis is the medical term for inflammation of the liver. It's most commonly caused by a virus (Hepatitis A, B, or C), but can also be caused by heavy alcohol use, toxins, or certain medications. It can lead to liver damage, cirrhosis, or liver cancer.",disease,medium
q166,What is 'paracetamol'?,"Paracetamol is the common international name for the medication known as 'acetaminophen' in the United States. It is a common over-the-counter drug (e.g., Tylenol) used to relieve pain and reduce fever.",treatment,easy
q167,What is 'acromegaly'?,"Acromegaly is a rare hormonal disorder that develops when your pituitary gland produces too much growth hormone (GH) during adulthood. This causes bones in the hands, feet, and face to increase in size. If it occurs in childhood, it's called gigantism.",disease,high
q168,What is 'Addison's disease'?,"Addison's disease is a rare autoimmune disorder where the adrenal glands (located on top of the kidneys) do not produce enough of two crucial hormones: cortisol and aldosterone. Symptoms include fatigue, muscle weakness, weight loss, and darkening of the skin.",disease,high
q169,What is 'Cushing's syndrome'?,"Cushing's syndrome is a hormonal disorder caused by prolonged exposure to high levels of the hormone cortisol. It can be caused by long-term use of steroid drugs or by a tumor. Signs include a fatty hump between the shoulders, a rounded face, and stretch marks.",disease,high
q170,What is 'multiple sclerosis' (MS)?,"Multiple sclerosis (MS) is a chronic, unpredictable autoimmune disease of the central nervous system (brain and spinal cord). The immune system attacks the protective sheath (myelin) that covers nerve fibers, causing communication problems between your brain and the rest of your body.",disease,high
q171,What is 'myasthenia gravis'?,Myasthenia gravis is a chronic autoimmune neuromuscular disorder characterized by weakness and rapid fatigue of any of the muscles under your voluntary control. It's caused by a breakdown in the normal communication between nerves and muscles.,disease,high
q172,What is 'Guillain-Barré syndrome'?,"Guillain-Barré syndrome is a rare autoimmune disorder in which the body's immune system attacks its own peripheral nerves. Early symptoms include weakness and tingling in the extremities, which can quickly spread, eventually paralyzing the whole body. It is often triggered by an infection.",disease,high
q173,What is 'psoriatic arthritis'?,"Psoriatic arthritis is a form of inflammatory arthritis that affects some people who have the skin condition psoriasis. It typically causes joint pain, stiffness, and swelling. Like psoriasis, it is an autoimmune condition.",disease,medium
q174,What is 'rheumatoid arthritis' (RA)?,"Rheumatoid arthritis (RA) is a chronic autoimmune disorder that primarily attacks the lining of the joints (synovium). This causes painful swelling and inflammation that can eventually result in bone erosion and joint deformity. It typically affects joints symmetrically (e.g., both wrists).",disease,medium
q175,What is 'osteoarthritis' (OA)?,"Osteoarthritis (OA) is the most common form of arthritis. It is a degenerative 'wear-and-tear' disease that occurs when the protective cartilage that cushions the ends of your bones wears down over time. It most commonly affects joints in the hands, knees, hips, and spine.",disease,medium
q176,What is 'osteoporosis'?,"Osteoporosis is a bone disease that occurs when the body loses too much bone, makes too little bone, or both. As a result, bones become weak and brittle and may break from a fall or, in serious cases, from minor bumps. It is most common in post-menopausal women.",disease,medium
q177,What is 'osteopenia'?,"Osteopenia is a condition where your bone mineral density is lower than normal, but not low enough to be classified as osteoporosis. It is considered a 'pre-osteoporosis' state and means you are at a higher risk of developing osteoporosis.",disease,medium
q178,What is 'ascites'?,"Ascites is the abnormal buildup of fluid in the abdomen, in the space between the lining of the abdomen and the organs. It is most often caused by severe liver disease (cirrhosis), but can also be caused by heart failure or cancer.",symptom,high
q179,What is 'paracentesis'?,A paracentesis is a medical procedure used to drain fluid (ascites) that has collected in the abdomen. A hollow needle is inserted into the abdominal cavity to remove the fluid for either diagnostic (testing) or therapeutic (symptom relief) purposes.,medical_procedure,high
q180,What is 'thoracentesis'?,A thoracentesis is a medical procedure to remove excess fluid from the space between the lungs and the chest wall (the pleural space). This fluid is called a 'pleural effusion.' The procedure is done with a needle and is used for both diagnosis and symptom relief.,medical_procedure,high
q181,What is 'pleural effusion'?,"A pleural effusion is an abnormal, excessive collection of fluid in the pleural space—the area between the thin membranes that line the lungs and the inside of the chest cavity. It can be caused by heart failure, pneumonia, or cancer.",symptom,high
q182,What is 'atelectasis'?,Atelectasis is the complete or partial collapse of a lung or a section (lobe) of a lung. It occurs when the tiny air sacs (alveoli) within the lung become deflated or fill with fluid. It's a common complication after surgery or in patients with lung disease.,disease,high
q183,What is 'pneumothorax'?,A pneumothorax is the medical term for a collapsed lung. It occurs when air leaks into the space between your lung and chest wall (the pleural space). This air pushes on the outside of your lung and makes it collapse. It can be caused by a chest injury or occur spontaneously.,disease,high
q184,What is 'COPD'?,"COPD (Chronic Obstructive Pulmonary Disease) is a chronic inflammatory lung disease that causes obstructed airflow from the lungs. It's a progressive disease most often caused by long-term exposure to irritating gases or particles, most commonly from cigarette smoke.",disease,medium
q185,What is 'emphysema'?,"Emphysema is a lung condition that is one of the main diseases that constitutes COPD. In emphysema, the air sacs (alveoli) in the lungs are damaged and rupture, creating larger air spaces instead of many small ones. This reduces the surface area for gas exchange and causes shortness of breath.",disease,medium
q186,What is 'chronic bronchitis'?,"Chronic bronchitis is a lung condition that is one of the main diseases that constitutes COPD. It is defined by a long-term cough with mucus, caused by inflammation and irritation of the lining of the bronchial tubes.",disease,medium
q187,What is 'asthma'?,"Asthma is a chronic respiratory condition in which your airways narrow and swell and may produce extra mucus. This can make breathing difficult and trigger coughing, a whistling sound (wheezing) when you breathe out, and shortness of breath.",disease,medium
q188,What is 'albuterol'?,"Albuterol (brand names include ProAir, Ventolin) is a 'bronchodilator' medication. It's known as a 'rescue inhaler' because it works quickly to relax the muscles around the airways, opening them up to relieve symptoms of an asthma attack or COPD flare-up.",treatment,medium
q189,What is the difference between an 'inhaler' and a 'nebulizer'?,"Both are devices that deliver medication to the lungs. An 'inhaler' is a small, portable device that delivers a pre-measured puff of medication. A 'nebulizer' is a larger machine that turns liquid medication into a fine mist that is inhaled over several minutes through a mask or mouthpiece.",treatment,easy
q190,What is a 'corticosteroid'?,"A corticosteroid is a type of powerful anti-inflammatory medication. It mimics cortisol, a hormone your body produces naturally. They are used to treat a wide range of conditions, from asthma and allergies (e.g., prednisone, fluticasone) to arthritis and autoimmune diseases.",treatment,medium
q191,What are common side effects of long-term 'steroid' (corticosteroid) use?,"Long-term oral steroid use can cause serious side effects, including weight gain (especially in the face), high blood sugar (leading to diabetes), high blood pressure, osteoporosis (bone thinning), increased risk of infection, and mood changes.",side_effects,high
q192,What is 'QRS complex' on an EKG?,"The QRS complex is the main, central spike seen on an electrocardiogram (EKG). It represents the electrical impulse spreading through the ventricles (the lower chambers of the heart) and causing them to contract (systole) and pump blood to the body.",diagnosis,high
q193,What is 'systole' and 'diastole'?,"Systole and diastole are the two phases of the cardiac cycle. 'Systole' is the phase when the heart muscle contracts and pumps blood out of the chambers (e.g., to the lungs and body). 'Diastole' is the phase when the heart muscle relaxes and the chambers fill with blood.",anatomy,medium
q194,What do the 'systolic' and 'diastolic' blood pressure numbers mean?,The top number (systolic) measures the pressure in your arteries when your heart beats (contracts). The bottom number (diastolic) measures the pressure in your arteries when your heart rests between beats (relaxes).,diagnosis,easy
q195,What is 'sinus rhythm'?," ""Normal sinus rhythm is the medical term for a normal regular heartbeat in which the heart's electrical impulse originates from the sinus node (the heart's natural pacemaker) and travels through the normal conduction pathways.”",diagnosis,medium
q196,What is 'arrhythmia'?,"An arrhythmia is an abnormal or irregular heartbeat. It means your heart is beating too fast (tachycardia), too slow (bradycardia), or with an irregular rhythm. Atrial fibrillation is a common type of arrhythmia.",disease,medium
q197,What is a 'pacemaker'?,"A pacemaker is a small, battery-operated medical device that is implanted in the chest to help control the heartbeat. It's used when the heart beats too slowly (bradycardia) by sending electrical signals to the heart to prompt it to beat at a normal rate.",treatment,medium
q198,What is a 'defibrillator' (ICD)?,"An implantable cardioverter-defibrillator (ICD) is a device implanted in the chest, similar to a pacemaker. It monitors the heart rhythm and, if it detects a dangerously fast and life-threatening rhythm (like ventricular fibrillation), it delivers an electric shock to restore a normal rhythm.",treatment,medium
q199,What is 'ventricular fibrillation' (V-Fib)?,Ventricular fibrillation (V-Fib) is a life-threatening heart rhythm disorder. The lower heart chambers (ventricles) quiver (fibrillate) uselessly instead of pumping blood. This causes the person to collapse and go into sudden cardiac arrest. It requires immediate CPR and defibrillation.,disease,high
q200,What is an 'electroencephalogram' (EEG)?,"An EEG is a non-invasive test that records the electrical activity of the brain. It's done by placing small metal discs (electrodes) on the scalp. It is used to diagnose and monitor conditions like epilepsy, sleep disorders, and brain injuries.",diagnosis,medium
q201,What is 'epilepsy'?,"Epilepsy is a chronic neurological disorder characterized by recurrent, unprovoked seizures. A seizure is a sudden, uncontrolled electrical disturbance in the brain. Not all seizures mean a person has epilepsy.",disease,medium
q202,What is a 'febrile seizure'?,"A febrile seizure is a convulsion in a child that is caused by a high fever. They are most common in children between 6 months and 5 years old. While frightening, they are usually harmless and don't indicate epilepsy.",pediatrics,medium
q203,What is 'meningitis'?,"Meningitis is a serious inflammation of the meninges, which are the protective membranes surrounding the brain and spinal cord. It can be caused by a virus (more common, less severe) or bacteria (less common, but life-threatening). Symptoms include severe headache, stiff neck, and fever.",disease,high
q204,What is 'encephalitis'?,"Encephalitis is inflammation of the brain itself. It is a rare but serious condition, often caused by a viral infection (like herpes simplex or West Nile virus) or an autoimmune response. Symptoms include fever, headache, confusion, and seizures.",disease,high
q205,What is 'Tourette syndrome'?,"Tourette syndrome is a neurological disorder characterized by involuntary, repetitive movements and vocalizations called 'tics.' These can range from simple tics (eye blinking, throat clearing) to complex tics (jumping, uttering words).",disease,medium
q206,What is 'narcolepsy'?,"Narcolepsy is a chronic neurological condition and sleep disorder characterized by overwhelming daytime sleepiness and sudden, uncontrollable episodes of falling asleep. It's often accompanied by 'cataplexy,' a sudden loss of muscle tone triggered by strong emotion.",disease,high
q207,What is 'ADHD'?,"ADHD (Attention-Deficit/Hyperactivity Disorder) is a chronic neurodevelopmental disorder. It is characterized by persistent patterns of inattention, hyperactivity, and/or impulsivity that interfere with functioning or development.",mental_health,medium
q208,What is 'autism spectrum disorder' (ASD)?,"Autism spectrum disorder (ASD) is a complex developmental condition that involves persistent challenges in social interaction, speech and nonverbal communication, and restricted/repetitive behaviors. The 'spectrum' refers to the wide range of symptoms and abilities.",mental_health,medium
q209,What is 'dyslexia'?,"Dyslexia is a specific learning disorder that involves difficulty with reading. People with dyslexia have trouble identifying speech sounds and learning how they relate to letters and words (decoding). It is a neurological issue, not a problem with intelligence.",disease,medium
q210,What is 'anorexia nervosa'?,"Anorexia nervosa is a serious eating disorder characterized by an abnormally low body weight, an intense fear of gaining weight, and a distorted perception of weight or shape. Individuals severely restrict food intake, which can lead to starvation and severe health complications.",mental_health,medium
q211,What is 'bulimia nervosa'?,"Bulimia nervosa is a serious eating disorder characterized by a cycle of 'bingeing' (eating large amounts of food in a short time) followed by 'purging' (behaviors to compensate for the overeating, such as self-induced vomiting, laxative abuse, or excessive exercise).",mental_health,medium
q212,What is 'bariatric surgery'?,"Bariatric surgery (or weight-loss surgery) is a group of procedures performed on people who have severe obesity. It makes changes to the digestive system, such as limiting how much you can eat (e.g., gastric sleeve) or reducing the absorption of nutrients (e.g., gastric bypass).",medical_procedure,medium
q213,What is a 'gastric bypass'?," ""A Roux-en-Y gastric bypass is a type of bariatric surgery. It involves creating a small pouch from the stomach and connecting this pouch directly to the small intestine. This 'bypasses' most of the stomach and the first part of the small intestine restricting food intake and reducing nutrient absorption.”",medical_procedure,high
q214,What is a 'gastric sleeve'?,"A sleeve gastrectomy (or 'gastric sleeve') is a type of bariatric surgery. In this procedure, about 80% of the stomach is surgically removed, leaving a small, 'sleeve'-shaped stomach. This permanently reduces the amount of food you can eat.",medical_procedure,high
q215,What is a 'hernia'?,"A hernia occurs when an organ or fatty tissue pushes through a weak spot in a surrounding muscle or connective tissue (fascia). The most common types occur in the abdomen, such as an inguinal (groin) hernia or an umbilical (belly button) hernia.",disease,easy
q216,What is a 'hiatal hernia'?,"A hiatal hernia occurs when the upper part of your stomach bulges up through your diaphragm (the large muscle separating your abdomen and chest) into your chest cavity. A small hiatal hernia is common and often asymptomatic, but a large one can cause GERD and heartburn.",disease,medium
q217,What is 'diverticulitis'?,"Diverticulitis is the inflammation or infection of one or more small pouches (diverticula) that can form in the lining of the digestive system, most often in the colon. An attack can cause severe abdominal pain, fever, and nausea.",disease,medium
q218,What is 'diverticulosis'?,"Diverticulosis is the condition of *having* the small pouches (diverticula) in the digestive tract. It is very common, especially after age 40, and usually causes no symptoms. It is distinct from 'diverticulitis,' which is when these pouches become inflamed.",disease,medium
q219,What is 'IBS' (Irritable Bowel Syndrome)?,"IBS is a common, chronic functional disorder of the large intestine. It is *not* a disease. It causes symptoms like cramping, abdominal pain, bloating, gas, and diarrhea or constipation (or both). It does not cause inflammation or permanent damage to the colon.",symptom,medium
q220,What is 'IBD' (Inflammatory Bowel Disease)?,"IBD is a broad term that refers to chronic inflammatory *diseases* of the gastrointestinal (GI) tract. The two main types are Crohn's disease and ulcerative colitis. Unlike IBS, IBD causes visible inflammation and physical damage to the bowel.",disease,medium
q221,What is 'appendicitis'?,"Appendicitis is the inflammation of the appendix, a small, finger-shaped pouch that projects from your colon on the lower right side of your abdomen. It causes sudden pain that typically begins near the navel and then moves to the lower right abdomen. It's a medical emergency.",disease,medium
q222,What is an 'appendectomy'?,"An appendectomy is the surgical removal of the appendix. It is the standard treatment for appendicitis and is performed as an emergency surgery, either as an open surgery or laparoscopically.",medical_procedure,easy
q223,What is 'laparoscopic' surgery?,"Laparoscopic surgery (or 'minimally invasive' surgery) is a surgical technique in which operations are performed through small incisions (0.5–1.5 cm) using small tubes, a tiny camera, and specialized surgical instruments. This results in less pain and faster recovery than traditional 'open' surgery.",medical_procedure,medium
q224,What are 'gallstones'?,"Gallstones are hardened deposits of digestive fluid (bile) that can form in your gallbladder, a small organ under the liver. They can range in size from a grain of sand to a golf ball and may cause no symptoms, or they can cause sudden, intense pain in the upper right abdomen.",disease,medium
q225,What is 'cholecystitis'?,"Cholecystitis is the medical term for inflammation of the gallbladder. It most often occurs when a gallstone blocks the cystic duct, leading to a buildup of bile. It causes severe pain and is a medical emergency.",disease,high
q226,What is a 'cholecystectomy'?,A cholecystectomy is the surgical removal of the gallbladder. It is a very common surgery and is the primary treatment for symptomatic gallstones or gallbladder inflammation (cholecystitis). It is most often performed laparoscopically.,medical_procedure,medium
q227,What is 'pancreatitis'?,Pancreatitis is the inflammation of the pancreas. It can be acute (sudden and severe) or chronic. Common causes include gallstones and heavy alcohol use. It causes severe abdominal pain and requires hospitalization.,disease,high
q228,What is 'ascites'?,"Ascites is the abnormal buildup of fluid in the abdomen (peritoneal cavity). It is most commonly caused by severe liver scarring (cirrhosis) which increases pressure in the liver's blood vessels, causing fluid to leak out.",symptom,high
q229,What is a 'fecal occult blood test' (FOBT)?,A FOBT is a non-invasive screening test for colon cancer. It checks a stool (feces) sample for 'occult' (hidden) blood. Blood in the stool can be a sign of polyps or cancer in the colon.,lab_test,medium
q230,What is a 'polyp' (colon)?,"A colon polyp is a small clump of cells that forms on the lining of the colon or rectum. Most are harmless, but some types (adenomatous polyps) can develop into colon cancer over time. They are typically removed during a colonoscopy.",disease,medium
q231,What is 'hirsutism'?,"Hirsutism is a condition in women that results in excessive growth of dark or coarse hair in a male-like pattern—on the face, chest, and back. It's often caused by an excess of male hormones (androgens), commonly seen in Polycystic Ovary Syndrome (PCOS).",symptom,medium
q232,What is 'PCOS' (Polycystic Ovary Syndrome)?,"PCOS is a common hormonal disorder among women of reproductive age. The exact cause is unknown but involves insulin resistance and high androgen levels. It can cause irregular periods, infertility, ovarian cysts, and symptoms like acne and hirsutism.",disease,medium
q233,What is a 'D&C' (Dilation and Curettage)?,A D&C is a surgical procedure in which the cervix is dilated (widened) and a special instrument (curette) is used to scrape and remove tissue from the inside of the uterus. It's used to diagnose uterine conditions or to clear the uterine lining after a miscarriage.,medical_procedure,medium
q234,What is 'menopause'?,Menopause is the natural biological process that marks the end of a woman's menstrual cycles and fertility. It's diagnosed after 12 consecutive months without a menstrual period. It typically occurs in a woman's 40s or 50s and is accompanied by symptoms like hot flashes.,anatomy,easy
q235,What is 'perimenopause'?,"Perimenopause means 'around menopause' and refers to the transitional time *before* menopause begins. During this time, the ovaries gradually produce less estrogen, and symptoms like irregular periods, hot flashes, and sleep problems may start.",anatomy,medium
q236,What is 'hormone replacement therapy' (HRT)?,"HRT is a treatment used to relieve symptoms of menopause. It involves taking medications containing female hormones (estrogen and progesterone) to replace the ones the body stops making. It has benefits but also carries risks, such as blood clots.",treatment,medium
q237,What is a 'Pap smear' (Pap test)?,"A Pap smear is a screening procedure for cervical cancer. It involves collecting cells from the cervix (the lower, narrow end of the uterus) to be checked for abnormalities or precancerous changes.",diagnosis,easy
q238,What is 'HPV' (Human Papillomavirus)?,"HPV is a very common group of viruses. It's mainly transmitted through sexual contact. Most HPV infections are harmless and go away on their own, but certain high-risk types can cause cervical, anal, and throat cancers, as well as genital warts.",disease,medium
q239,What is the 'HPV vaccine' (Gardasil)?,"The HPV vaccine (e.g., Gardasil 9) is a vaccine that protects against the types of HPV that most commonly cause cancer and genital warts. It is recommended for both boys and girls, ideally before they become sexually active.",vaccination,medium
q240,What is a 'vasectomy'?,"A vasectomy is a surgical procedure for male sterilization or permanent birth control. It involves cutting or sealing the tubes (vas deferens) that carry sperm from the testicles, preventing sperm from reaching the semen.",medical_procedure,medium
q241,What is 'tubal ligation'?,"Tubal ligation ('getting your tubes tied') is a surgical procedure for female sterilization. It involves cutting, tying, or blocking the fallopian tubes to permanently prevent pregnancy by stopping the egg from reaching the uterus.",medical_procedure,medium
q242,What is an 'IUD'?,"An IUD (Intrauterine Device) is a small, T-shaped birth control device that is inserted into the uterus. There are two types: hormonal IUDs (which release progestin) and copper IUDs (which are non-hormonal). They are highly effective, long-lasting, and reversible.",treatment,easy
q243,What is 'in vitro fertilization' (IVF)?,"IVF is a complex series of procedures used to help with fertility or prevent genetic problems. During IVF, mature eggs are collected (retrieved) from ovaries and fertilized by sperm in a lab. The fertilized egg (embryo) is then transferred to a uterus.",medical_procedure,medium
q244,What is 'BPH' (Benign Prostatic Hyperplasia)?,"BPH is the medical term for an enlarged prostate, a common condition in older men. It is non-cancerous. The enlarged prostate gland can squeeze or block the urethra, causing symptoms like a frequent need to urinate, a weak stream, and difficulty starting urination.",disease,medium
q245,What is a 'PSA test'?,"A PSA test measures the level of Prostate-Specific Antigen (PSA) in a man's blood. PSA is a protein produced by the prostate gland. High levels can be a sign of BPH or, more seriously, prostate cancer. It is used as a screening tool.",lab_test,medium
q246,What is 'erectile dysfunction' (ED)?,"Erectile dysfunction (impotence) is the inability to get and keep an erection firm enough for sex. It can be a sign of an underlying health condition, such as heart disease or diabetes, or can be caused by stress or psychological factors.",disease,medium
q247,What is 'sildenafil' (Viagra)?,Sildenafil (brand name Viagra) is a medication used to treat erectile dysfunction. It is a 'PDE5 inhibitor' that works by increasing blood flow to the penis. It does not cause an erection without sexual stimulation.,treatment,medium
q248,What is a 'UTI' (Urinary Tract Infection)?,"A UTI is an infection in any part of the urinary system, but most commonly in the bladder (cystitis) or urethra. They are much more common in women and cause symptoms like a strong, persistent urge to urinate, a burning sensation when urinating, and cloudy urine.",disease,easy
q249,What is 'cystitis'?,"Cystitis is the medical term for inflammation of the bladder, most often caused by a bacterial UTI. It is the most common type of urinary tract infection.",disease,medium
q250,What is 'pyelonephritis'?,"Pyelonephritis is a severe type of kidney infection (a UTI that has moved upstream). It's a serious condition that causes fever, chills, back/flank pain, and nausea. It requires prompt antibiotic treatment to prevent kidney damage or sepsis.",disease,high
q251,What is 'hematuria'?,"Hematuria is the medical term for blood in the urine. 'Gross hematuria' is visible blood. 'Microscopic hematuria' is blood only visible under a microscope. It can be a sign of a UTI, kidney stones, or, more seriously, cancer of the bladder or kidney.",symptom,medium
q252,What are 'kidney stones'?,"Kidney stones (nephrolithiasis) are hard deposits made of minerals and salts that form inside your kidneys. They can cause excruciating pain (renal colic) as they pass through the urinary tract. The main symptom is severe, sharp pain in the side, back, or lower abdomen.",disease,medium
q253,What is 'lithotripsy'?,"Lithotripsy (specifically, extracorporeal shock wave lithotripsy or ESWL) is a non-invasive medical procedure used to treat kidney stones. It uses high-energy shock waves to break the stones into tiny pieces, which can then be passed in the urine.",medical_procedure,high
q254,What is 'CKD' (Chronic Kidney Disease)?,"CKD is a condition characterized by the gradual, long-term loss of kidney function. The kidneys become damaged and cannot filter blood as well as they should. The two main causes are diabetes and high blood pressure.",disease,medium
q255,What is 'ESRD' (End-Stage Renal Disease)?,"ESRD is the final, permanent stage of chronic kidney disease (CKD), where kidney function has declined to the point that the kidneys can no longer function on their own. The patient requires dialysis or a kidney transplant to survive.",disease,high
q256,What is a 'creatinine' blood test?," ""A serum creatinine test measures the level of creatinine (a waste product from muscle breakdown) in your blood. Healthy kidneys filter creatinine out. A high level of creatinine in the blood is a sign that the kidneys are not functioning properly.""",lab_test,medium
